0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:25:27
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",41.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,    4.25,     11600
0000000001,00:00:01,0000001381,    4.30,     11200
0000000001,00:00:01,0000001381,    4.35,     15200
0000000001,00:00:01,0000001381,    4.40,     10900
0000000001,00:00:01,0000001381,    4.45,     10100
0000000001,00:00:01,0000001381,    4.50,     13200
0000000001,00:00:01,0000001381,    4.55,     11700
0000000001,00:00:01,0000001381,    4.60,     12600
0000000001,00:00:01,0000001381,    4.65,     13800
0000000001,00:00:01,0000001381,    4.70,     15000
0000000001,00:00:01,0000001381,    4.75,     14900
0000000001,00:00:01,0000001381,    4.80,     15200
0000000001,00:00:01,0000001381,    4.85,     13100
0000000001,00:00:01,0000001381,    4.90,     14400
0000000001,00:00:01,0000001381,    4.95,     13300
0000000001,00:00:01,0000001381,    5.00,     13500
0000000001,00:00:01,0000001381,    5.05,     15100
0000000001,00:00:01,0000001381,    5.10,     15500
0000000001,00:00:01,0000001381,    5.15,     14000
0000000001,00:00:01,0000001381,    5.20,     15900
0000000001,00:00:01,0000001381,    5.25,     15800
0000000001,00:00:01,0000001381,    5.30,     16900
0000000001,00:00:01,0000001381,    5.35,     17700
0000000001,00:00:01,0000001381,    5.40,     14700
0000000001,00:00:01,0000001381,    5.45,     17700
0000000001,00:00:01,0000001381,    5.50,     15200
0000000001,00:00:01,0000001381,    5.55,     14000
